Date,HSI Price,HSI Strike,"Open(HSIo,C)","Settle(HSIo,C)","Change(HSIo,C%)","Open(HSIo,P)","Settle(HSIo,P)","Change(HSIo,P%)"
2018-05-02,30723.88086,30800.0,420,417,-16.27,684,657,3.46
2018-05-03,30313.36914,30400.0,490,402,-35.47,608,747,62.04
2018-05-04,29926.5,30000.0,575,440,-26.67,537,660,22.0
2018-05-07,29994.25977,30000.0,526,409,-7.05,543,646,-2.12
2018-05-08,30402.81055,30400.0,269,390,53.54,760,590,-33.71
2018-05-09,30536.14063,30600.0,283,373,21.9,670,558,-21.41
2018-05-10,30809.2207,30800.0,315,368,26.46,584,495,-26.56
2018-05-11,31122.06055,31200.0,280,348,62.62,564,457,-38.41
2018-05-14,31541.08008,31600.0,250,337,72.82,521,477,-32.24
2018-05-15,31152.0293,31200.0,486,285,-47.61,291,495,73.08
2018-05-16,31110.19922,31200.0,238,265,-7.02,560,530,7.07
2018-05-17,30942.15039,31000.0,438,290,-18.54,255,400,-3.61
2018-05-18,31047.91016,31000.0,318,270,-6.9,350,370,-7.5
2018-05-21,31234.34961,31200.0,272,285,51.6,350,265,-46.14
2018-05-23,30665.64063,30600.0,570,240,-66.2,100,293,225.56
2018-05-24,30760.41016,30800.0,187,164,8.61,310,263,-35.54
2018-05-25,30588.03906,30600.0,237,205,-24.63,168,157,-7.65
2018-05-28,30792.25977,30800.0,134,105,-1.87,182,148,-42.41
2018-05-29,30484.58008,30400.0,227,140,-64.1,49,115,248.48
2018-05-30,30056.78906,30000.0,200,0,-100.0,98,0,-100.0
2018-05-31,30468.56055,30400.0,408,611,76.08,765,518,-41.0
2018-06-01,30492.91016,30400.0,555,525,-14.08,533,542,4.63
2018-06-04,30997.98047,31000.0,347,443,64.68,685,545,-38.0
2018-06-05,31093.44922,31000.0,416,492,11.06,572,435,-20.18
2018-06-06,31259.09961,31200.0,396,431,11.08,502,443,-16.42
2018-06-07,31512.63086,31600.0,347,398,53.08,521,463,-30.58
2018-06-08,30958.21094,31000.0,615,380,-50.46,284,551,138.53
2018-06-11,31063.69922,31000.0,430,438,15.26,450,389,-29.4
2018-06-12,31103.06055,31200.0,277,294,-10.91,490,460,-6.31
2018-06-13,30725.15039,30800.0,453,330,-36.42,306,381,36.07
2018-06-14,30440.16992,30400.0,500,348,-40.0,257,333,43.53
2018-06-15,30309.49023,30400.0,340,250,-28.16,354,390,17.12
2018-06-19,29468.15039,29400.0,539,344,-63.64,174,371,294.68
2018-06-20,29696.16992,29600.0,248,329,34.29,434,257,-44.49
2018-06-21,29296.05078,29200.0,647,354,-42.9,111,256,85.51
2018-06-22,29338.69922,29400.0,160,211,-12.08,460,274,-19.65
2018-06-25,28961.39063,29000.0,425,204,-55.07,95,238,83.08
2018-06-26,28881.40039,28800.0,295,282,-14.55,168,130,-24.42
2018-06-27,28356.25977,28400.0,505,126,-79.24,40,150,248.84
2018-06-28,28497.32031,28400.0,69,0,-100.0,104,0,-100.0
2018-06-29,28955.10938,29000.0,307,492,58.71,991,760,-26.99
2018-07-03,28545.57031,28600.0,481,516,-26.29,786,804,40.56
2018-07-04,28241.66992,28200.0,680,587,-19.92,630,742,20.45
2018-07-05,28182.08984,28200.0,587,653,11.24,730,660,-11.05
2018-07-06,28315.61914,28400.0,494,475,-13.16,790,670,-8.59
2018-07-09,28688.5,28600.0,571,597,55.87,480,478,-39.95
2018-07-10,28682.25,28600.0,691,497,-16.75,383,447,-6.49
2018-07-11,28311.68945,28400.0,339,419,-31.87,750,551,47.72
2018-07-12,28480.83008,28400.0,435,495,18.14,542,403,-26.86
2018-07-13,28525.43945,28600.0,479,371,-2.37,390,411,-16.12
2018-07-16,28539.66016,28600.0,400,306,-17.52,360,398,-3.16
2018-07-17,28181.67969,28200.0,497,356,-35.51,277,359,48.96
2018-07-18,28117.41992,28200.0,443,265,-25.56,267,384,6.96
2018-07-19,28010.85938,28000.0,450,328,-13.46,261,290,-2.03
2018-07-20,28224.48047,28200.0,210,294,30.67,355,267,-31.71
2018-07-23,28256.11914,28200.0,262,264,-10.2,280,248,-7.12
2018-07-24,28662.57031,28600.0,100,242,142.0,434,192,-60.33
2018-07-25,28920.90039,29000.0,124,146,82.5,312,243,-44.14
2018-07-26,28781.14063,28800.0,350,117,-53.94,85,175,19.86
2018-07-27,28804.2793,28800.0,108,56,-52.14,150,125,-28.57
2018-07-30,28733.13086,28800.0,6,0,-100.0,200,0,-100.0
2018-07-31,28583.00977,28600.0,550,450,-22.41,510,613,21.39
