Date,Option Code,Strike,Open(C),Settle(C),IV(C),Open(P),Settle(P),IV(P)
2018-05-18,CKH,90.0,0.43,0.32,12,1.8,1.49,11
2018-05-18,CLP,80.0,1.44,1.19,12,0.29,0.36,11
2018-05-18,HKG,17.0,0.2,0.17,12,0.15,0.14,12
2018-05-18,WHL,26.0,0.0,0.33,18,0.0,0.38,19
2018-05-18,HKB,77.5,0.56,0.62,12,1.0,0.8,12
2018-05-18,HEH,55.0,0.4,0.37,12,0.48,0.63,11
2018-05-18,HSB,195.0,3.53,3.34,14,1.74,1.21,15
2018-05-18,HLD,50.0,1.18,1.15,17,0.29,0.24,15
2018-05-18,SHK,127.5,1.85,1.47,16,1.13,1.44,15
2018-05-18,NWD,12.0,0.26,0.25,24,0.19,0.18,24
2018-05-18,SWA,77.5,1.6,2.09,15,0.77,0.33,17
2018-05-18,BEA,33.0,0.0,0.52,18,0.39,0.39,19
2018-05-18,GLX,67.5,0.92,0.93,23,1.2,1.29,21
2018-05-18,MTR,46.0,0.0,0.09,11,1.29,1.0,12
2018-05-18,KLE,7.0,0.24,0.26,29,0.2,0.18,28
2018-05-18,WWC,7.25,0.0,0.12,28,0.16,0.18,28
2018-05-18,GAH,23.0,0.48,0.47,30,0.59,0.53,29
2018-05-18,CIT,12.0,0.11,0.14,18,0.0,0.17,17
2018-05-18,CPA,13.0,0.0,0.16,21,0.0,0.25,21
2018-05-18,JXC,11.5,0.22,0.25,28,0.2,0.21,26
2018-05-18,CPC,8.0,0.23,0.24,24,0.4,0.32,22
2018-05-18,HEX,260.0,3.3,3.58,20,3.87,3.87,19
2018-05-18,CRG,6.25,0.12,0.12,23,0.07,0.09,22
2018-05-18,DFM,8.75,0.0,0.19,25,0.0,0.12,22
2018-05-18,LIF,3.6,0.0,0.05,30,0.11,0.12,31
2018-05-18,COL,27.0,0.7,0.67,23,0.37,0.28,22
2018-05-18,TCH,410.0,8.93,8.0,24,6.02,6.47,23
2018-05-18,CTC,3.7,0.0,0.07,19,0.0,0.04,20
2018-05-18,CHU,11.5,0.11,0.17,25,0.25,0.26,25
2018-05-18,LNK,67.5,0.0,0.67,14,0.61,0.76,14
2018-05-18,PEC,6.0,0.35,0.52,28,0.02,0.01,30
2018-05-18,CNC,14.0,0.4,0.54,23,0.17,0.09,25
2018-05-18,HNP,5.5,0.1,0.1,24,0.0,0.09,22
2018-05-18,ACC,49.0,0.96,1.27,32,1.82,1.13,34
2018-05-18,XCC,8.25,0.054,0.071,17,0.129,0.142,16
2018-05-18,CHT,72.5,0.86,1.04,11,1.4,1.09,13
2018-05-18,LEN,3.8,0.0,0.08,34,0.0,0.11,34
2018-05-18,CTB,5.75,0.0,0.12,22,0.0,0.27,14
2018-05-18,HGN,72.5,0.84,0.69,24,2.17,2.2,22
2018-05-18,CSE,21.0,0.4,1.16,32,0.55,0.18,34
2018-05-18,CRL,30.0,0.65,1.12,28,0.28,0.32,29
2018-05-18,CKP,67.5,0.35,0.43,15,1.35,1.19,15
2018-05-18,YZC,11.5,0.34,0.75,46,0.64,0.38,46
2018-05-18,CRC,9.0,0.11,0.1,20,0.14,0.17,19
2018-05-18,BYD,52.5,1.12,1.44,30,1.29,0.88,29
2018-05-18,XAB,4.3,0.03,0.032,19,0.101,0.101,19
2018-05-18,AIA,72.5,0.63,0.8,24,2.1,1.91,23
2018-05-18,NCL,37.0,1.02,1.02,32,0.72,0.71,31
2018-05-18,PIN,3.7,0.0,0.09,25,0.0,0.04,21
2018-05-18,CDA,2.8,0.0,0.09,22,0.0,0.01,16
2018-05-18,XIC,6.75,0.079,0.092,18,0.091,0.084,17
2018-05-18,CCC,8.5,0.0,0.22,20,0.06,0.07,21
2018-05-18,CGN,2.2,0.0,0.02,18,0.0,0.04,18
2018-05-18,CCE,3.5,0.0,0.21,25,0.0,0.02,32
2018-05-18,SUN,34.0,0.93,1.31,29,0.42,0.41,32
2018-05-18,CCS,4.3,0.21,0.23,30,0.0,0.04,35
2018-05-18,SAN,47.0,1.07,0.83,22,0.78,0.73,23
2018-05-18,COG,16.5,0.38,0.35,28,0.3,0.38,28
2018-05-18,AAC,115.0,2.09,2.08,33,4.15,3.63,33
2018-05-18,GAC,14.0,0.44,0.35,34,0.37,0.36,35
2018-05-18,MGM,23.0,0.24,0.18,24,0.0,0.79,26
2018-05-18,PAI,77.5,1.42,1.39,16,0.72,0.63,17
2018-05-18,MEN,27.0,0.0,0.54,27,0.42,0.5,25
2018-05-18,PIC,14.0,0.0,0.36,27,0.23,0.2,26
2018-05-18,GWM,7.75,0.0,0.16,21,0.1,0.09,21
2018-05-18,SNO,150.0,3.0,3.14,38,5.5,5.35,38
2018-05-18,BOC,40.0,0.42,0.45,17,0.58,0.51,16
2018-05-18,ALC,4.3,0.0,0.14,29,0.05,0.06,30
2018-05-18,CPI,36.0,0.34,0.44,23,0.0,0.83,23
2018-05-18,CLI,22.0,0.5,0.55,18,0.11,0.13,18
2018-05-18,RFP,19.0,0.0,0.81,30,0.0,0.17,29
2018-05-18,TRF,31.0,0.47,0.51,13,0.24,0.17,14
2018-05-18,CSA,15.0,0.0,0.36,18,0.12,0.09,17
2018-05-18,A50,14.5,0.35,0.47,19,0.06,0.06,18
2018-05-18,HCF,125.0,1.35,1.55,17,1.93,1.56,16
2018-05-18,STC,80.0,1.0,0.74,13,0.96,0.84,13
2018-05-18,ZJM,3.5,0.0,0.13,35,0.09,0.07,39
2018-05-18,AMC,48.0,0.0,1.27,18,0.23,0.23,17
