Date,Stock Code,Option Code,Closing,Change,Change(%),"Open(HSIo,C)","Settle(HSIo,C)","Change(HSIo,C%)","Open(HSIo,P)","Settle(HSIo,P)","Change(HSIo,P%)",Strike,SV,IV(C),IV(P),Open(C),Settle(C),Change(C),Change(C%),"T-Price(tree,C)","T-Price(BS,C)",Open(P),Settle(P),Change(P),Change(P%),"T-Price(tree,P)","T-Price(BS,P)",Delta(C),Delta(P),Vega(C),Vega(P),P(-10%C),P(-5%C),P(-1%C),P(0%C),P(1%C),P(5%C),P(10%C),P(-10%P),P(-5%P),P(-1%P),P(0%P),P(1%P),P(5%P),P(10%P)
2018-05-28,1,CKH,89.45,-0.05,-0.06,134,105,-1.87,182,148,-42.41,90.00,15.0,17,17,0.24,0.24,-0.06,-20.0,0.16,0.18,0.73,0.79,-0.03,-3.66,0.71,0.75,0.31,-0.69,0.02,0.02,0.0,0.0,0.06,0.21,0.66,3.92,8.4,9.49,5.02,1.51,0.76,0.32,0.0,0.0
2018-05-28,2,CLP,82.45,-0.65,-0.78,134,105,-1.87,182,148,-42.41,82.50,14.000000000000002,19,18,0.67,0.46,-0.38,-45.24,0.35,0.32,0.34,0.48,+0.21,77.78,0.4,0.38,0.48,-0.52,0.02,0.02,0.0,0.0,0.14,0.48,0.93,4.07,8.2,8.3,4.17,1.0,0.5,0.14,0.0,0.0
2018-05-28,3,HKG,17.1,0.02,0.12,134,105,-1.87,182,148,-42.41,17.00,12.0,22,18,0.00,0.17,+0.02,13.33,0.12,0.12,0.05,0.05,-0.01,-16.67,0.02,0.02,0.64,-0.33,0.0,0.0,0.0,0.0,0.08,0.17,0.3,0.96,1.81,1.61,0.75,0.13,0.05,0.02,0.0,0.0
2018-05-28,4,WHL,25.8,0.05,0.19,134,105,-1.87,182,148,-42.41,26.00,19.0,22,24,0.00,0.09,-0.03,-25.0,0.05,0.06,0.36,0.30,-0.05,-14.29,0.25,0.27,0.32,-0.67,0.01,0.01,0.0,0.0,0.03,0.08,0.21,1.09,2.38,2.78,1.49,0.5,0.3,0.17,0.0,0.0
2018-05-28,5,HKB,76.85,-0.2,-0.26,134,105,-1.87,182,148,-42.41,77.50,18.0,13,11,0.17,0.08,-0.14,-63.64,0.14,0.16,0.88,0.70,+0.01,1.45,0.79,0.82,0.19,-0.85,0.02,0.01,0.0,0.0,0.0,0.08,0.38,3.19,7.04,8.34,4.49,1.42,0.7,0.21,0.0,0.0
2018-05-28,6,HEH,55.0,0.1,0.18,134,105,-1.87,182,148,-42.41,55.00,20.0,14,14,0.26,0.24,-0.03,-11.11,0.35,0.31,0.28,0.23,-0.15,-39.47,0.35,0.32,0.49,-0.51,0.02,0.02,0.0,0.0,0.05,0.25,0.61,2.75,5.5,5.5,2.75,0.6,0.25,0.06,0.0,0.0
2018-05-28,11,HSB,195.9,0.4,0.2,134,105,-1.87,182,148,-42.41,195.00,18.0,19,18,0.00,1.64,-0.09,-5.2,1.6,1.54,0.80,0.66,-0.54,-45.0,0.7,0.68,0.62,-0.37,0.05,0.05,0.0,0.0,0.66,1.64,3.1,10.7,20.49,18.69,8.9,1.65,0.68,0.21,0.0,0.0
2018-05-28,12,HLD,52.25,0.35,0.67,134,105,-1.87,182,148,-42.41,52.50,16.0,21,20,0.25,0.22,+0.03,15.79,0.14,0.13,0.47,0.45,-0.30,-40.0,0.39,0.39,0.38,-0.63,0.01,0.01,0.0,0.0,0.08,0.23,0.49,2.36,4.98,5.48,2.86,0.84,0.46,0.2,0.0,0.0
2018-05-28,16,SHK,125.5,0.5,0.4,134,105,-1.87,182,148,-42.41,125.00,19.0,19,18,1.25,1.01,+0.20,24.69,1.02,0.97,0.53,0.46,-0.38,-45.24,0.52,0.5,0.61,-0.39,0.04,0.04,0.0,0.0,0.38,1.01,1.92,6.78,13.05,12.05,5.78,1.1,0.47,0.14,0.0,0.0
2018-05-28,17,NWD,12.06,0.12,1.01,134,105,-1.87,182,148,-42.41,12.00,23.0,27,30,0.10,0.13,+0.02,18.18,0.12,0.11,0.13,0.08,-0.08,-50.0,0.06,0.06,0.6,-0.41,0.0,0.0,0.0,0.0,0.07,0.13,0.21,0.66,1.27,1.15,0.54,0.15,0.09,0.04,0.0,0.0
2018-05-28,19,SWA,79.6,0.45,0.57,134,105,-1.87,182,148,-42.41,80.00,23.0,20,21,0.25,0.32,0.00,0.0,0.38,0.35,0.86,0.74,-0.40,-35.09,0.78,0.77,0.36,-0.63,0.02,0.02,0.0,0.0,0.11,0.31,0.71,3.58,7.56,8.36,4.38,1.31,0.74,0.34,0.0,0.0
2018-05-28,23,BEA,32.6,-0.25,-0.76,134,105,-1.87,182,148,-42.41,33.00,20.0,21,22,0.00,0.07,-0.15,-68.18,0.06,0.05,0.00,0.47,+0.13,38.24,0.46,0.46,0.21,-0.77,0.01,0.01,0.0,0.0,0.02,0.06,0.18,1.23,2.86,3.66,2.03,0.75,0.47,0.27,0.0,0.0
2018-05-28,27,GLX,70.4,2.0,2.92,134,105,-1.87,182,148,-42.41,70.00,27.0,23,25,0.32,0.72,+0.58,414.29,0.82,0.78,1.69,0.35,-1.42,-80.23,0.42,0.4,0.63,-0.38,0.02,0.02,0.0,0.0,0.36,0.72,1.23,3.92,7.44,6.64,3.12,0.71,0.36,0.14,0.0,0.0
2018-05-28,66,MTR,44.3,0.0,0.0,134,105,-1.87,182,148,-42.41,44.00,19.0,17,18,0.00,0.41,-0.05,-10.87,0.42,0.42,0.12,0.12,-0.05,-29.41,0.12,0.13,0.7,-0.31,0.01,0.01,0.0,0.0,0.17,0.39,0.77,2.52,4.73,4.13,1.92,0.32,0.1,0.04,0.0,0.0
2018-05-28,135,KLE,7.31,-0.12,-1.62,134,105,-1.87,182,148,-42.41,7.25,28.000000000000004,26,32,0.08,0.09,-0.13,-59.09,0.1,0.09,0.26,0.21,+0.06,40.0,0.04,0.04,0.66,-0.36,0.0,0.0,0.0,0.0,0.05,0.09,0.15,0.43,0.79,0.67,0.31,0.08,0.04,0.02,0.0,0.0
2018-05-28,151,WWC,7.22,0.06,0.84,134,105,-1.87,182,148,-42.41,7.25,17.0,39,34,0.00,0.07,+0.02,40.0,0.02,0.02,0.00,0.09,-0.05,-35.71,0.05,0.05,0.45,-0.56,0.0,0.0,0.0,0.0,0.04,0.08,0.11,0.34,0.69,0.75,0.39,0.13,0.09,0.06,0.0,0.0
2018-05-28,175,GAH,22.85,0.65,2.93,134,105,-1.87,182,148,-42.41,23.00,37.0,39,39,0.10,0.20,+0.15,300.0,0.2,0.18,0.64,0.35,-0.47,-57.32,0.35,0.34,0.41,-0.59,0.01,0.01,0.0,0.0,0.1,0.21,0.33,1.02,2.14,2.43,1.29,0.47,0.36,0.25,0.02,0.0
2018-05-28,267,CIT,11.58,-0.02,-0.17,134,105,-1.87,182,148,-42.41,11.50,22.0,21,24,0.00,0.12,-0.04,-25.0,0.12,0.12,0.05,0.05,0.00,0.0,0.04,0.04,0.67,-0.35,0.0,0.0,0.0,0.0,0.06,0.12,0.21,0.66,1.24,1.08,0.5,0.11,0.05,0.02,0.0,0.0
2018-05-28,293,CPA,13.28,0.34,2.63,134,105,-1.87,182,148,-42.41,13.50,22.0,22,23,0.02,0.02,+0.01,100.0,0.02,0.02,0.00,0.24,-0.33,-57.89,0.24,0.24,0.16,-0.83,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.44,1.11,1.55,0.88,0.36,0.24,0.14,0.0,0.0
2018-05-28,358,JXC,11.42,0.04,0.35,134,105,-1.87,182,148,-42.41,11.50,14.000000000000002,34,31,0.10,0.08,0.00,0.0,0.02,0.02,0.20,0.15,-0.05,-25.0,0.1,0.1,0.39,-0.62,0.0,0.0,0.0,0.0,0.04,0.08,0.14,0.49,1.06,1.22,0.65,0.23,0.15,0.1,0.0,0.0
2018-05-28,386,CPC,7.34,0.02,0.27,134,105,-1.87,182,148,-42.41,7.25,43.0,50,55,0.06,0.16,+0.03,23.08,0.15,0.14,0.16,0.08,+0.01,14.29,0.06,0.06,0.64,-0.38,0.0,0.0,0.0,0.02,0.12,0.16,0.2,0.46,0.82,0.64,0.31,0.12,0.08,0.05,0.01,0.0
2018-05-28,388,HEX,260.2,0.2,0.08,134,105,-1.87,182,148,-42.41,260.00,17.0,17,16,1.52,1.44,-0.49,-25.39,1.55,1.41,2.20,1.15,-0.85,-42.5,1.35,1.27,0.52,-0.48,0.08,0.08,0.0,0.0,0.41,1.52,3.17,13.21,26.22,25.82,12.81,2.76,1.23,0.32,0.0,0.0
2018-05-28,390,CRG,6.35,0.0,0.0,134,105,-1.87,182,148,-42.41,6.25,21.0,36,30,0.10,0.13,+0.01,8.33,0.11,0.11,0.00,0.02,-0.01,-33.33,0.01,0.01,0.73,-0.24,0.0,0.0,0.0,0.01,0.09,0.12,0.18,0.42,0.74,0.54,0.22,0.04,0.02,0.01,0.0,0.0
